variant,family,condition,successes,n,rate,status,missing_episodes
perceptual-tokendrop-context,VideoPlaceOrder,k3,0,50,0.0,complete,
perceptual-tokendrop-context,VideoPlaceOrder,k7,0,50,0.0,complete,
perceptual-tokendrop-context,InsertPeg,no-history,0,50,0.0,complete,
perceptual-tokendrop-context,InsertPeg,k0,0,50,0.0,complete,
perceptual-tokendrop-context,InsertPeg,k1,0,50,0.0,complete,
perceptual-tokendrop-context,InsertPeg,k3,0,50,0.0,complete,
perceptual-tokendrop-context,InsertPeg,k7,0,50,0.0,complete,
perceptual-tokendrop-context,PatternLock,no-history,8,50,0.16,complete,
perceptual-tokendrop-context,PatternLock,k0,8,50,0.16,complete,
perceptual-tokendrop-context,PatternLock,k1,8,50,0.16,complete,
perceptual-tokendrop-context,PatternLock,k3,8,50,0.16,complete,
perceptual-tokendrop-context,PatternLock,k7,8,50,0.16,complete,
perceptual-tokendrop-expert,MoveCube,no-history,20,50,0.4,complete,
perceptual-tokendrop-expert,MoveCube,k0,45,50,0.9,complete,
perceptual-tokendrop-expert,MoveCube,k1,20,50,0.4,complete,
perceptual-tokendrop-expert,MoveCube,k3,10,50,0.2,complete,
perceptual-tokendrop-expert,MoveCube,k7,7,50,0.14,complete,
perceptual-tokendrop-expert,RouteStick,no-history,2,50,0.04,complete,
perceptual-tokendrop-expert,RouteStick,k0,9,50,0.18,complete,
perceptual-tokendrop-expert,RouteStick,k1,5,50,0.1,complete,
perceptual-tokendrop-expert,RouteStick,k3,3,50,0.06,complete,
perceptual-tokendrop-expert,RouteStick,k7,5,50,0.1,complete,
perceptual-tokendrop-expert,VideoUnmask,no-history,14,50,0.28,complete,
perceptual-tokendrop-expert,VideoUnmask,k0,13,50,0.26,complete,
perceptual-tokendrop-expert,VideoUnmask,k1,12,50,0.24,complete,
perceptual-tokendrop-expert,VideoUnmask,k3,10,50,0.2,complete,
perceptual-tokendrop-expert,VideoUnmask,k7,9,50,0.18,complete,
perceptual-tokendrop-expert,VideoUnmaskSwap,no-history,9,50,0.18,complete,
perceptual-tokendrop-expert,VideoUnmaskSwap,k0,9,50,0.18,complete,
perceptual-tokendrop-expert,VideoUnmaskSwap,k1,13,50,0.26,complete,
perceptual-tokendrop-expert,VideoUnmaskSwap,k3,12,50,0.24,complete,
perceptual-tokendrop-expert,VideoUnmaskSwap,k7,10,50,0.2,complete,
perceptual-tokendrop-expert,VideoRepick,no-history,0,50,0.0,complete,
perceptual-tokendrop-expert,VideoRepick,k0,10,50,0.2,complete,
perceptual-tokendrop-expert,VideoRepick,k1,11,50,0.22,complete,
perceptual-tokendrop-expert,VideoRepick,k3,6,50,0.12,complete,
perceptual-tokendrop-expert,VideoRepick,k7,2,50,0.04,complete,
perceptual-tokendrop-expert,VideoPlaceButton,no-history,14,50,0.28,complete,
perceptual-tokendrop-expert,VideoPlaceButton,k0,17,50,0.34,complete,
perceptual-tokendrop-expert,VideoPlaceButton,k1,13,50,0.26,complete,
perceptual-tokendrop-expert,VideoPlaceButton,k3,13,50,0.26,complete,
perceptual-tokendrop-expert,VideoPlaceButton,k7,12,50,0.24,complete,
perceptual-tokendrop-expert,VideoPlaceOrder,no-history,9,50,0.18,complete,
perceptual-tokendrop-expert,VideoPlaceOrder,k0,12,50,0.24,complete,
perceptual-tokendrop-expert,VideoPlaceOrder,k1,9,50,0.18,complete,
perceptual-tokendrop-expert,VideoPlaceOrder,k3,8,50,0.16,complete,
perceptual-tokendrop-expert,VideoPlaceOrder,k7,10,50,0.2,complete,
perceptual-tokendrop-expert,InsertPeg,no-history,0,50,0.0,complete,
perceptual-tokendrop-expert,InsertPeg,k0,0,50,0.0,complete,
perceptual-tokendrop-expert,InsertPeg,k1,0,50,0.0,complete,
perceptual-tokendrop-expert,InsertPeg,k3,0,50,0.0,complete,
perceptual-tokendrop-expert,InsertPeg,k7,0,50,0.0,complete,
perceptual-tokendrop-expert,PatternLock,no-history,8,50,0.16,complete,
perceptual-tokendrop-expert,PatternLock,k0,8,50,0.16,complete,
perceptual-tokendrop-expert,PatternLock,k1,8,50,0.16,complete,
perceptual-tokendrop-expert,PatternLock,k3,8,50,0.16,complete,
perceptual-tokendrop-expert,PatternLock,k7,8,50,0.16,complete,
